epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,125,0.02990916185081005,
,9.997533048548475e-05,126,,
1,,251,0.00563599169254303,
,9.990134628777144e-05,252,,
2,,377,,0.004329484887421131
2,,377,0.004987675230950117,
,9.9778120420331e-05,378,,
3,,503,0.004565390292555094,
,9.960577449221734e-05,504,,
4,,629,0.004318136256188154,
,9.938447858805392e-05,630,,
5,,755,,0.0039298697374761105
5,,755,0.004108259454369545,
,9.911445110018081e-05,756,,
6,,881,0.00390995480120182,
,9.87959585131277e-05,882,,
7,,1007,0.003819724777713418,
,9.842931514062592e-05,1008,,
8,,1133,,0.0034465761855244637
8,,1133,0.0037030137609690428,
,9.801488281541878e-05,1134,,
9,,1259,0.003651838283985853,
,9.755307053217622e-05,1260,,
10,,1385,0.00369196105748415,
,9.704433404386652e-05,1386,,
11,,1511,,0.003308400511741638
11,,1511,0.0035207481123507023,
,9.648917541198313e-05,1512,,
12,,1637,0.0034326219465583563,
,9.588814251107064e-05,1638,,
13,,1763,0.00342506798915565,
,9.524182848803866e-05,1764,,
14,,1889,,0.003255021059885621
14,,1889,0.003316328627988696,
,9.455087117679747e-05,1890,,
15,,2015,0.0033543023746460676,
,9.381595246879297e-05,2016,,
16,,2141,0.003316572867333889,
,9.303779764006218e-05,2142,,
17,,2267,,0.0031596205662935972
17,,2267,0.00328345806337893,
,9.221717463547327e-05,2268,,
18,,2393,0.003255334682762623,
,9.135489331085674e-05,2394,,
19,,2519,0.003205020446330309,
,9.045180463377552e-05,2520,,
20,,2645,,0.0031223606783896685
20,,2645,0.0032044993713498116,
,8.950879984372265e-05,2646,,
21,,2771,0.003218702971935272,
,8.85268095725756e-05,2772,,
22,,2897,0.0031912026461213827,
,8.750680292617485e-05,2898,,
23,,3023,,0.003068196354433894
23,,3023,0.003135180566459894,
,8.644978652793349e-05,3024,,
24,,3149,0.00316446041688323,
,8.535680352542147e-05,3150,,
25,,3275,0.003135060193017125,
,8.422893256090482e-05,3276,,
26,,3401,,0.0030411162879318
26,,3401,0.0031357768457382917,
,8.3067286706856e-05,3402,,
27,,3527,0.0031216624192893505,
,8.187301236748577e-05,3528,,
28,,3653,0.003108327044174075,
,8.064728814738059e-05,3654,,
29,,3779,,0.0029975015204399824
29,,3779,0.0031341244466602802,
,7.939132368836223e-05,3780,,
30,,3905,0.003105760784819722,
